item,27/09/2022,26/09/2021
 Assets =,10364000000,9992000000
 + AssetsCurrent =,1997000000,1905000000
   + CashAndCashEquivalentsAtCarryingValue,982000000,1136000000
   + AvailableForSaleSecuritiesCurrent,0,0
   + AccountsReceivableNetCurrent,123000000,113000000
   + InventoryNet,3000000,7000000
   + DeferredTaxAssetsNetCurrent,0,0
   + NontradeReceivablesCurrent,0,0
   + OtherAssetsCurrent,889000000,649000000
 + AvailableForSaleSecuritiesNoncurrent,0,0
 + PropertyPlantAndEquipmentNet,3512000000,3031000000
 + Goodwill,3827000000,3835000000
 + IntangibleAssetsNetExcludingGoodwill,634000000,735000000
 + OtherAssetsNoncurrent,394000000,486000000
 LiabilitiesAndStockholdersEquity =,10364000000,9992000000
 + Liabilities =,6715000000,6639000000
   + LiabilitiesCurrent =,3073000000,3504000000
     + AccountsPayableCurrent,404000000,366000000
     + AccruedLiabilitiesCurrent,2507000000,3003000000
     + DeferredRevenueCurrent,162000000,135000000
     + CommercialPaper,0,0
   + DeferredRevenueNoncurrent,0,0
   + LongTermDebt,1486000000,1871000000
   + OtherLiabilitiesNoncurrent,2156000000,1264000000
 + CommitmentsAndContingencies,0,0
 + StockholdersEquity =,3649000000,3353000000
   + CommonStockValue,1879000000,1879000000
   + RetainedEarningsAccumulatedDeficit,3436000000,2975000000
   + AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1666147000,-1500948000
   + CommonStocksIncludingAdditionalPaidInCapital,147000,-52000
